name,date,lat,lng,mi01,mi02,mi03,mi04,mi05,mi06,mi07,mi08,mi09,mi10,mi11,mi12,mi13,mi14,mi15,mi16,mi17,mi18,mi19,mi20,mi21,mi22,mi23,mi24,mi25
七戸川上流,6月28日,40.680343,141.066567,3,3,3,3,2,2.2,2.6,3,3,2,3,2.6,3,2.2,2.8,2,2,2.6,1.8,1.4,3,2.5,3,2.7,2.4
七戸川中流,6月28日,40.686763,141.125206,2.2,3,2.6,3,1.6,3,2.2,2,2.2,2,2.6,2.2,2.6,2,2,2,3,2.2,1.8,1.8,2.6,2.5,2.1,2.3,2.2
七戸川下流,6月28日,40.698777,141.161132,2.7,1,3,3,1.3,3,2,1.3,2,2,1.7,1.3,1.3,1.3,1.7,2,3,1.7,1,1,2.2,2.3,1.7,1.5,1.9
馬淵川源流,10月,40.02906,141.538276,3,3,1.5,2.5,3,2,1,1,2.3,2.5,3,1,2.2,2.5,3,3,2.5,2.5,2.7,1,3,1.5,1,1.5,1.6
馬淵川中流（馬淵川近隣公園）,10月,40.269186,141.29844,2.9,2.6,3,2.8,2.5,2.2,2,2.7,2.4,2.7,2.8,2.1,2.6,2.8,2.4,2.6,2.2,2.8,2.6,2.1,2.7,2,2,2.2,2.2
馬淵川下流（馬淵大橋）,10月,40.537867,141.497556,2.5,2,2.5,2.3,2.5,2.5,2.5,1.5,2.3,1.5,2.5,2,2,2.5,2.5,1.5,2,2,2.1,1.5,2.5,2.5,2.5,2.5,2.4
